,Premium,Size,Risk free,,,Value,Momentum
195906,-0.25,0.67,0.25,0.93,-0.02,1.31,2.9
195907,3.17,-0.3,0.25,-0.13,-0.38,0.23,-0.3
195908,-1.39,-0.76,0.19,-0.51,-1.12,0.44,-1
195909,-4.8,-0.09,0.31,-0.11,-0.18,0.55,0.93
195910,1.28,1.44,0.3,1.17,-0.05,-2.1,3.71
195911,1.6,1.23,0.26,-1.7,-0.37,-3.21,2.23
195912,2.45,-0.58,0.34,1.42,-0.51,-0.07,1.03
196001,-6.98,2.09,0.33,3.71,0.92,2.78,-3.54
196002,1.17,0.51,0.29,-0.52,-0.8,-1.93,3.92
196003,-1.63,-0.49,0.35,-0.77,-1.42,-2.94,1.38
196004,-1.71,0.32,0.19,-2.29,-1.19,-2.28,2.84
196005,3.12,1.21,0.27,-3.54,-3.5,-3.7,4.79
196006,2.08,-0.21,0.24,1.12,-0.12,-0.34,0.86
196007,-2.37,-0.51,0.13,1.07,0.27,1.98,-0.81
196008,3.01,0.87,0.17,-1.37,1.09,-0.18,1.91
196009,-5.99,-1.11,0.16,-0.04,1.31,1.62,0.32
196010,-0.71,-4.08,0.22,-2.13,1.25,2.83,1.25
196011,4.69,0.4,0.13,1.05,-2.58,-2.43,3.78
196012,4.71,-1.55,0.16,0.78,-0.57,-0.81,1.41
196101,6.2,0.64,0.19,1.17,3.73,3.72,-4
196102,3.57,3.93,0.14,1.32,-2.73,-0.66,0.98
196103,2.89,3.3,0.2,1.5,-3.01,-0.73,4.54
196104,0.29,0.07,0.17,1.93,0.76,2.12,3.6
196105,2.4,2.01,0.18,3.51,0.78,0.37,-1.57
196106,-3.08,-2.49,0.2,1.32,-1.73,-0.14,0.33
196107,2.83,-1.9,0.18,1.43,-0.31,-0.09,0.27
196108,2.57,-1.75,0.14,1.13,-1.59,-0.28,1.59
196109,-2.15,-1.07,0.17,-1.65,-2.86,-0.61,0.82
196110,2.57,-1.65,0.19,-1.4,-0.49,0.15,3.11
196111,4.45,1.26,0.15,-0.47,-2.56,-1.23,1.35
196112,-0.18,-0.85,0.19,1.15,3.38,1.79,-2.21
196201,-3.87,1.77,0.24,0.94,6.62,5.13,-2.03
196202,1.81,-1.15,0.2,0.86,1.13,0.82,-1.01
196203,-0.68,0.52,0.2,0.71,-1.14,-1.38,1.84
196204,-6.59,-0.7,0.22,-0.82,0.59,0.03,2.91
196205,-8.65,-3.34,0.24,-0.18,3.42,2.77,0.41
196206,-8.47,-0.59,0.2,-2.82,1.74,2.55,6.46
196207,6.28,1.52,0.27,3.53,-2.27,-3.41,0.52
196208,2.13,1.22,0.23,-0.12,-1.1,-1.2,-0.6
196209,-5.22,-2.42,0.21,2.42,1.73,1.28,3.95
196210,-0.05,-3.97,0.25,-2.07,0.83,1.3,0.76
196211,10.87,2.61,0.2,5.3,0.79,0.95,-7.16
196212,1.01,-3.8,0.23,5.02,-0.39,0.36,5.89
196301,4.93,3.08,0.25,4.56,1.61,2.21,-2.11
196302,-2.38,0.48,0.23,1.54,0.72,2.18,2.53
196303,3.08,-2.59,0.23,1.42,1.24,2.06,1.62
196304,4.51,-1.34,0.25,-0.93,1.04,1,-0.09
196305,1.76,1.13,0.24,0.14,2.41,2.54,0.33
196306,-2,-0.27,0.23,1.81,-0.31,0.75,1.21
196307,-0.39,-0.45,0.27,-0.08,-1.11,-0.97,0.9
196308,5.07,-0.98,0.25,1.3,1.58,1.8,1.01
196309,-1.57,-0.33,0.27,1.19,-0.17,0.13,0.19
196310,2.53,-0.58,0.29,-0.66,-0.21,-0.1,3.12
196311,-0.85,-1.17,0.27,1.12,-0.01,1.75,-0.74
196312,1.83,-2.16,0.29,0.27,-0.01,-0.02,1.75
196401,2.24,-0.11,0.3,-0.16,0.04,1.48,0.86
196402,1.54,0.11,0.26,0.19,1.2,2.81,0.26
196403,1.41,0.87,0.31,0.23,3.87,3.4,0.75
196404,0.1,-1.35,0.29,3.45,-2.54,-0.67,-0.58
196405,1.42,-0.86,0.26,-1.22,-0.1,1.86,2.57
196406,1.27,-0.12,0.3,0.48,-0.5,0.62,0.46
196407,1.74,0.24,0.3,1.82,-0.06,0.75,-0.35
196408,-1.44,0.16,0.28,-1.11,-0.66,0.08,-0.22
196409,2.69,-0.54,0.28,1.25,3.66,1.7,-0.41
196410,0.59,0.42,0.29,1.11,-0.6,1.17,0.08
196411,0,0.69,0.29,-0.68,-1.47,-1.96,1.03
196412,0.03,-0.35,0.31,0.85,-1.58,-2.48,-0.74
196501,3.54,2.7,0.28,2.95,2.24,0.12,-1.44
196502,0.44,3.55,0.3,-0.51,2.89,0.11,0.32
196503,-1.34,1.89,0.36,1.39,0.64,1.03,0.15
196504,3.11,1.1,0.31,0.4,0.19,0.66,2.63
196505,-0.77,0.11,0.31,0.21,0.03,-1.61,0.6
196506,-5.51,-4.34,0.35,0.39,-1.81,0.59,-3.13
196507,1.43,0.89,0.31,2.58,1.59,2.2,4.1
196508,2.73,2.84,0.33,-1.4,1.67,-1,2.58
196509,2.86,0.64,0.31,-1.37,2,-0.13,3.3
196510,2.6,2.52,0.31,-1.27,0.94,1.56,3.46
196511,-0.03,4.68,0.35,-2.42,1.04,0.15,4.45
196512,1.01,2.06,0.33,2.82,-0.29,2.03,0.12
196601,0.72,3.84,0.38,0.51,1.49,3.56,5.39
196602,-1.21,4.4,0.35,-2.73,1.36,0.33,4.57
196603,-2.51,0.99,0.38,-0.32,0.63,-1.98,1.42
196604,2.14,3.43,0.34,-0.87,1.43,-0.46,6.28
196605,-5.66,-4.6,0.41,3.48,-0.93,-1.63,-4.7
196606,-1.44,1.03,0.38,2.56,1.4,0.5,3.25
196607,-1.63,-0.36,0.35,1.25,-0.41,0.95,-1.34
196608,-7.91,-3.27,0.41,0.3,2.25,0.43,-2.14
196609,-1.06,-1.04,0.4,1.04,-1.3,0.56,-1.84
196610,3.86,-6.52,0.45,-1.53,0.04,2.69,-5.26
196611,1.4,4.24,0.4,9.04,-0.17,-4.69,5.72
196612,0.13,1.97,0.4,0.28,0.43,-1.19,1.06
196701,8.15,8.32,0.43,3.53,0.75,2.27,-6.93
196702,0.78,3.35,0.36,1.3,2.11,-2.22,3.52
196703,3.99,1.55,0.39,1.83,-0.77,0.37,1.53
196704,3.89,0.63,0.32,0.56,-3.53,-2.48,0.59
196705,-4.33,1.9,0.33,1.81,-0.24,1.09,0.72
196706,2.41,5.93,0.27,-1.09,-0.36,0.85,6
196707,4.58,3.12,0.31,0.21,-1.71,2.73,-1.07
196708,-0.89,0.42,0.31,0.67,0.31,1.44,-1.38
196709,3.11,3.06,0.32,-0.64,-0.92,-2.5,2.52
196710,-3.09,1.46,0.39,-2.38,0.27,-3.3,3.67
196711,0.37,0.21,0.36,0.2,-2.18,-1.7,1.26
196712,3.05,5.73,0.33,-0.04,2.06,-0.53,3.25
196801,-4.06,3.92,0.4,3.96,5.95,4.8,-4.7
196802,-3.75,-2.94,0.39,-0.87,2.68,1.28,-3.43
196803,0.2,-1.34,0.38,1.54,-2.42,-0.59,3.23
196804,9.05,5.68,0.43,-0.74,-4.86,-1.13,5.09
196805,2.28,6.4,0.45,-1.96,-1.86,0.85,3.8
196806,0.69,-0.19,0.43,3.74,2.76,0.73,-1.9
196807,-2.72,-1.36,0.48,-1.33,6.31,5.39,-0.88
196808,1.34,2.34,0.42,0.71,0.77,1.01,1.89
196809,4.03,2.8,0.43,-0.15,0.04,0.3,-0.65
196810,0.42,-0.48,0.44,1.34,2.72,2.86,-1.46
196811,5.43,2.34,0.42,3.29,-2.16,-0.92,1.75
196812,-3.94,3.37,0.43,2.39,-0.91,-0.01,-0.01
196901,-1.25,-0.74,0.53,2.52,2.4,1.67,-0.17
196902,-5.84,-3.92,0.46,2.39,2.32,0.91,-2.36
196903,2.64,-0.3,0.46,0.29,-0.01,-0.51,3.97
196904,1.46,-0.86,0.53,-0.96,0.09,-0.03,1.13
196905,-0.1,-0.21,0.48,1.44,1.36,0.7,1.7
196906,-7.18,-5.37,0.51,-0.11,1.46,-1.08,-2.3
196907,-7,-3.24,0.53,-1.61,2.97,1.2,1.71
196908,4.68,0.93,0.5,3.28,-4.63,-3.79,2.17
196909,-2.98,1.18,0.62,0.63,-1.13,-3.27,2.52
196910,5.06,3.91,0.6,-0.48,-1.72,-3.16,-4.31
196911,-3.79,-2.58,0.52,1.04,-0.5,-1.19,3.66
196912,-2.63,-3.71,0.64,-2.86,0.09,-2.86,4.96
197001,-8.1,2.93,0.6,-0.26,4.11,3.13,0.6
197002,5.13,-2.58,0.62,2.82,1.57,3.93,0.23
197003,-1.06,-2.32,0.57,0.63,5.16,3.99,-0.36
197004,-11,-6.15,0.5,-4.54,6.85,6.18,-0.77
197005,-6.92,-4.59,0.53,-3.16,3.83,3.33,-2.78
197006,-5.79,-2.13,0.58,-0.1,3.19,0.6,5.7
197007,6.93,-0.5,0.52,3.97,1.49,0.9,-3.14
197008,4.49,1.52,0.53,1.52,-0.85,1.15,-6.55
197009,4.18,8.59,0.54,0.57,-7.56,-5.47,-8.8
197010,-2.28,-4.21,0.46,6.79,0.77,0.22,9.42
197011,4.6,-3.94,0.46,-0.52,2.05,1.69,2.73
197012,5.72,2.92,0.42,2.37,1.23,1,-2.23
197101,4.84,7.36,0.38,1.88,0.8,1.33,-6.51
197102,1.41,1.86,0.33,1.76,-0.21,-1.23,0.79
197103,4.13,2.62,0.3,0.1,-1.98,-3.95,-1.41
197104,3.15,-0.49,0.28,0.92,2.02,0.69,1.41
197105,-3.98,-1.04,0.29,0.53,-0.66,-1.44,0.86
197106,-0.1,-1.47,0.37,-0.99,-1.15,-1.87,2.73
197107,-4.5,-1.48,0.4,1.37,-2.93,0.02,-2.35
197108,3.79,-0.17,0.47,5.57,1.97,2.63,3.61
197109,-0.85,0.51,0.37,0.29,-1.75,-2.91,2.12
197110,-4.42,-1.76,0.37,-1.25,-0.02,-0.48,0.47
197111,-0.46,-2.77,0.37,-0.82,-0.89,-1.68,1.51
197112,8.71,3.29,0.37,3.65,0.7,-0.4,-0.58
197201,2.49,5.85,0.29,-0.58,2.85,2.24,0.17
197202,2.87,1.3,0.25,-0.1,-1.42,-2.79,2.54
197203,0.63,-0.24,0.27,1.46,-1.63,-1.61,2.94
197204,0.29,0.11,0.29,0.13,-0.32,0.12,2.81
197205,1.25,-2.69,0.3,-0.93,-1.22,-2.7,3.29
197206,-2.43,0.27,0.29,-1.74,-1.11,-2.48,1.9
197207,-0.8,-2.87,0.31,-2.32,-0.24,0.66,2.75
197208,3.26,-4.03,0.29,0.7,3.08,4.54,-5.4
197209,-1.14,-2.65,0.34,1.48,-1.29,0.46,1.82
197210,0.52,-2.73,0.4,-0.93,0.18,1.34,0.71
197211,4.6,-1.2,0.37,3.28,1.38,4.85,-5.09
197212,0.62,-1.95,0.37,3.89,-2.29,-2.19,4.92
197301,-3.29,-3.49,0.44,-1.37,-0.02,2.68,3.73
197302,-4.85,-3.87,0.41,-2.2,-0.17,1.6,2.16
197303,-1.3,-2.82,0.46,0.43,0.89,2.62,3.59
197304,-5.68,-3.85,0.52,-0.68,2.49,5.41,6.36
197305,-2.94,-6.3,0.51,-1.11,-2.47,0.41,7.14
197306,-1.57,-2.86,0.51,0.11,-0.4,1.2,4.3
197307,5.05,7.97,0.64,9.47,0.4,-5.31,-11.57
197308,-3.82,-2.13,0.7,1.71,0.28,1.24,3.46
197309,4.75,3.04,0.68,1.65,5.73,2.01,-7
197310,-0.83,-0.45,0.65,1.82,2.32,1.94,6.87
197311,-12.75,-7.67,0.56,-4.67,-2.37,3.87,8.66
197312,0.61,-5.35,0.64,0.39,2.52,3.85,10.38
197401,-0.17,9.68,0.63,9.23,7.66,6.02,-8.85
197402,-0.47,-0.18,0.58,0.73,4.5,2.81,0.32
197403,-2.81,2.6,0.56,4.12,-0.26,-0.32,-1.06
197404,-5.29,-0.74,0.75,-1.39,1.27,0.85,2.11
197405,-4.68,-2.96,0.75,-2.72,-3.02,-2.02,-0.39
197406,-2.83,-0.17,0.6,-0.95,-1.88,0.77,2.3
197407,-8.05,0.84,0.7,0.85,3.32,5.16,3.11
197408,-9.35,-0.73,0.6,2.04,2.02,2.64,3
197409,-11.77,0.27,0.81,3.26,1.24,5.58,4.24
197410,16.1,-3.45,0.51,8.72,-5.2,-9.87,-0.54
197411,-4.51,-1.21,0.54,-0.3,0.02,-0.2,2.13
197412,-3.45,-4.83,0.7,-0.38,-4,0.11,2.92
197501,13.66,11.14,0.58,14.57,14.51,8.28,-13.82
197502,5.56,0.16,0.43,4.55,0.08,-4.45,-0.61
197503,2.66,3.79,0.41,3.5,4.86,2.38,-2.04
197504,4.23,-0.65,0.44,-0.46,-1.99,-1.14,1.38
197505,5.19,3.83,0.44,3.76,2.05,-4.1,-0.58
197506,4.83,0.87,0.41,3.29,2.5,1.38,0.04
197507,-6.59,2.7,0.48,1.21,0.78,1.69,0.42
197508,-2.85,-3.25,0.48,0.64,-2.37,-0.95,-0.1
197509,-4.26,-0.1,0.53,-0.31,-1.4,0.39,0.41
197510,5.31,-4.03,0.56,1.56,0.75,0.28,-0.16
197511,2.64,-1.2,0.41,-2.52,2.25,2.03,-0.45
197512,-1.6,-0.78,0.48,3.26,-0.32,1.69,-0.11
197601,12.16,4.81,0.47,2.84,9.15,8.63,4.45
197602,0.32,7.06,0.34,-2.48,4.9,5.87,0.38
197603,2.32,-1.16,0.4,4.43,0.3,-0.12,0.15
197604,-1.49,-0.11,0.42,2.13,-1.81,-0.16,0.59
197605,-1.34,-1.23,0.37,-0.77,-3.43,-1.36,-1.12
197606,4.05,-1.32,0.43,0.63,1.69,0.71,-0.42
197607,-1.07,0.29,0.47,1.68,0.4,1.73,-0.13
197608,-0.56,-2,0.42,-2.04,0.29,0.81,-0.85
197609,2.07,-0.02,0.44,-0.32,-0.42,-0.29,0.22
197610,-2.42,0.22,0.41,1.14,-1.59,-0.18,-0.44
197611,0.36,2.32,0.4,0.54,1.19,1.51,2.91
197612,5.65,3.03,0.4,3.64,2.85,2.27,0.73
197701,-4.05,4.76,0.36,0.54,0.88,4.27,4
197702,-1.94,1.04,0.35,1.38,-1.47,0.47,0.36
197703,-1.37,1,0.38,1.03,-0.76,1.09,0.55
197704,0.15,-0.12,0.38,-1.22,0.22,3.38,4.21
197705,-1.45,1.18,0.37,-0.32,0.26,0.85,2.03
197706,4.71,2.09,0.4,0.09,3.23,-0.74,1.66
197707,-1.69,2.16,0.42,1.03,1.47,-0.56,0.32
197708,-1.75,1.48,0.44,-0.71,3.4,-2.7,-1.7
197709,-0.27,1.34,0.43,0.83,0.53,-0.52,2
197710,-4.38,1.25,0.49,1.76,-1.07,1.75,-0.08
197711,4,3.73,0.5,2.22,3.32,0.26,2.01
197712,0.27,1.32,0.49,-0.13,-1.7,-0.29,1.58
197801,-6.01,2.24,0.49,1.07,1.49,3.36,-0.66
197802,-1.38,3.59,0.46,1.17,-0.68,0.83,1.97
197803,2.85,3.49,0.53,-0.27,0.75,1.18,1.37
197804,7.88,0.45,0.54,0.22,1.92,-3.54,0.86
197805,1.76,4.56,0.51,0.08,-0.17,-0.52,2.83
197806,-1.69,1.66,0.54,1.35,0.06,0.57,2.74
197807,5.11,0.23,0.56,0.91,0.57,-1.15,4.17
197808,3.75,5.06,0.56,0.87,-0.55,-0.51,2.83
197809,-1.43,-0.43,0.62,3.65,-0.72,1.89,-3.14
197810,-11.91,-9.86,0.68,-1.84,-0.11,1.38,-8.46
197811,2.71,2.97,0.7,9.15,-0.77,-2.15,5.45
197812,0.88,1.29,0.78,-0.39,0.24,-2.13,3.03
197901,4.23,3.62,0.77,5.62,-0.65,2.19,-1.36
197902,-3.56,0.45,0.73,1.31,0.93,1.17,-1.06
197903,5.68,3.26,0.81,1.47,-0.39,-0.71,2.93
197904,-0.06,2.15,0.8,-0.4,-0.42,1.12,0.81
197905,-2.21,0.21,0.82,1.17,0.71,1.31,-0.54
197906,3.85,1.17,0.81,1.19,-2.73,1.44,0.84
197907,0.82,1.28,0.77,0.6,-2.01,1.86,-1.07
197908,5.53,2.05,0.77,0.79,-1.67,-1.58,-0.2
197909,-0.82,-0.27,0.83,-1.63,0.13,-0.9,5.28
197910,-8.1,-3.37,0.87,-1.94,1.54,-1.84,2.01
197911,5.21,2.87,0.99,1.31,-2.27,-3.29,8.14
197912,1.79,4.17,0.95,-1.89,-0.37,-2.1,4.78
198001,5.51,1.62,0.8,-3.41,-0.69,1.75,7.55
198002,-1.22,-1.85,0.89,-4.91,0,0.61,7.88
198003,-12.9,-6.64,1.21,8.46,2.52,-1.01,-9.55
198004,3.97,1.05,1.26,1.4,-0.05,1.06,-0.43
198005,5.26,2.13,0.81,2.84,0.83,0.38,-1.12
198006,3.06,1.66,0.61,2.24,-2.8,-0.76,1.62
198007,6.49,4.14,0.53,2.95,-1.61,-6.41,0.39
198008,1.8,3.92,0.64,-0.84,-1.54,-2.6,3.21
198009,2.19,0.98,0.75,-1.52,-1.72,-4.59,5.39
198010,1.06,2.47,0.95,-1.96,-2.73,-2.76,7.3
198011,9.59,-3.36,0.96,-9.71,-7.87,-8.33,15.22
198012,-4.52,-0.26,1.31,6.38,3.45,2.79,-6.68
198101,-5.04,2.92,1.04,-2.29,7.56,6.72,-7.95
198102,0.57,-0.34,1.07,-2.33,2.57,1.02,-1.35
198103,3.56,3.54,1.21,1.59,1.54,0.64,0.74
198104,-2.11,4.4,1.08,-1.5,2.74,2.28,-0.91
198105,0.11,2,1.15,-3.78,1.59,-0.42,3.7
198106,-2.36,-0.83,1.35,4.78,0.99,5.13,-5.81
198107,-1.54,-2.19,1.24,-0.56,-3.48,-0.5,-2.45
198108,-7.04,-1.95,1.28,-0.65,1.3,4.76,-1.15
198109,-7.17,-2.65,1.24,-1.11,5.13,5.17,1.95
198110,4.92,2.23,1.21,4.55,-4.93,-4.21,4.01
198111,3.36,-1.03,1.07,2.67,0.64,1.83,-0.27
198112,-3.65,1.2,0.87,1.66,1.4,0.81,1.3
198201,-3.24,-1.28,0.8,-1.37,6.34,3.19,1.72
198202,-5.86,0.44,0.92,-4.31,5.95,6.05,4.88
198203,-1.87,-0.21,0.98,-1.89,3.92,3.81,2.96
198204,3.27,1.47,1.13,1.65,-1.68,-2.7,-0.4
198205,-3.99,0.52,1.06,1.99,1.48,1.75,2.5
198206,-3.09,-0.4,0.96,0.15,1.95,1.53,4.96
198207,-3.19,0.83,1.05,-2.88,2.21,0.09,4.45
198208,11.14,-4.14,0.76,1.14,-0.91,0.95,-3.52
198209,1.29,2.95,0.51,4.52,-0.53,0.28,4.19
198210,11.3,2.34,0.59,2.97,-0.69,-3.66,0.18
198211,4.67,4.67,0.63,-4.48,1.03,-1.87,5.95
198212,0.55,-0.22,0.67,3.8,0.97,-0.02,0.04
198301,3.6,2.73,0.69,3.18,0.12,-0.75,-1.73
198302,2.59,3.27,0.62,2.63,-0.37,0.7,3.77
198303,2.82,1.73,0.63,0.34,0.96,2.02,0.92
198304,6.67,0.5,0.71,-0.55,3.1,0.49,1.72
198305,0.52,6.24,0.69,2.73,-2.03,-1.4,-1.56
198306,3.07,0.95,0.67,0.18,-0.83,-3.9,1.8
198307,-4.07,1.5,0.74,2.04,1.12,5.62,-3.13
198308,-0.5,-4.28,0.76,-0.97,-0.21,5.54,-5.88
198309,0.91,0.61,0.76,2.36,0.77,1.01,-0.03
198310,-3.44,-3.57,0.76,-1.63,1.16,4.97,-4.52
198311,2.16,2.01,0.7,4.94,-1.25,-0.72,-0.13
198312,-1.78,-0.27,0.73,1.97,1.3,1.73,0.84
198401,-1.92,-0.38,0.76,0.64,4.24,7.58,-2.56
198402,-4.82,-1.69,0.71,-2.06,0.22,3.33,0.22
198403,0.63,0.07,0.73,2.51,0.8,0.46,1.07
198404,-0.51,-1.16,0.81,1.61,-1.65,1.2,2.07
198405,-5.97,0.06,0.78,0.81,-0.29,0.31,1.51
198406,1.82,-0.3,0.75,0.96,-3.58,-2.66,-0.7
198407,-2.74,-2.21,0.82,-1.45,-1.55,0.36,2.85
198408,10.28,-0.24,0.83,7.29,-1.81,-1.82,-5.59
198409,-0.8,0.17,0.86,4.28,1.75,5.28,3.62
198410,-0.84,-1.23,1,-1.21,-1.7,0.45,3.16
198411,-1.76,-0.65,0.73,-0.67,1.07,4.06,1.64
198412,1.84,-0.56,0.64,0.8,-3.11,-0.26,1.49
198501,7.99,3.31,0.65,2.32,-1.83,-5.35,-6.82
198502,1.22,0.79,0.58,2.5,-0.08,-0.1,1.88
198503,-0.84,-1.08,0.62,-1.37,-0.92,4.07,1.58
198504,-0.96,0.14,0.72,-2.46,0.17,3.72,3.04
198505,5.09,-2.22,0.66,-0.54,-3.99,-0.96,3.99
198506,1.27,0.52,0.55,-0.67,-2.42,0.38,3.57
198507,-0.74,2.84,0.62,3.62,1.62,-1.62,-3.91
198508,-1.02,-0.3,0.55,1.77,0.01,2.32,1.85
198509,-4.54,-1.59,0.6,-1.85,-0.8,1.29,1.51
198510,4.02,-1.51,0.65,0.66,-2.49,0.75,4.88
198511,6.48,0.25,0.61,2.41,-2.22,-2.85,-0.47
198512,3.88,-0.51,0.65,-0.34,-3.09,-1.54,-0.23
198601,0.65,1.21,0.56,0.84,-2.75,0.44,3
198602,7.13,-0.54,0.53,-1.69,-3.62,-0.72,2.76
198603,4.88,-0.59,0.6,-0.07,-2.66,-0.39,2.41
198604,-1.31,2.78,0.52,2.82,-1.24,-2.87,-0.37
198605,4.62,-1.35,0.49,1.05,-1.49,-0.21,2.05
198606,1.03,-0.96,0.52,-2.48,-6.4,1.28,5.07
198607,-6.45,-3.36,0.52,-2.86,-3.84,4.7,1.83
198608,6.07,-4.17,0.46,1.14,4.75,3.51,-5.28
198609,-8.6,2.36,0.45,-0.31,3.91,3.22,-5.79
198610,4.66,-2.5,0.46,3.58,0.72,-1.42,4.46
198611,1.17,-1.91,0.39,0.71,0.24,-0.07,-0.26
198612,-3.27,0.13,0.49,0.61,0.58,0.36,0.35
198701,12.47,-1.81,0.42,0.31,3.19,-3.16,2.2
198702,4.39,3.49,0.43,-1.11,-0.12,-5.91,-2.07
198703,1.64,0.45,0.47,1.81,4.33,1.61,1.68
198704,-2.11,-1.69,0.44,-1.9,3.68,-0.39,0.22
198705,0.11,-0.5,0.38,-0.3,1.99,0.23,-0.74
198706,3.94,-2.12,0.48,0.01,-1.3,1.04,-0.25
198707,3.85,-0.69,0.46,-0.22,2.24,0.68,2.72
198708,3.52,-0.77,0.47,2.45,-2.84,-0.93,-0.86
198709,-2.59,0.54,0.45,-0.4,2.98,0.27,0.77
198710,-23.24,-8.43,0.6,-0.13,-5.8,4.24,-7.86
198711,-7.77,2.72,0.35,-0.87,-0.2,2.95,-1.17
198712,6.81,0.13,0.39,5.8,2.74,-4.43,5.87
198801,4.21,-0.72,0.29,7.91,-1.61,5.01,-7.24
198802,4.75,3.34,0.46,4.36,1.34,-1.71,-1.47
198803,-2.27,6.15,0.44,-0.84,1.24,0.73,0.58
198804,0.56,1,0.46,0.23,0.47,1.67,2.24
198805,-0.29,-2.6,0.51,0.65,-0.05,2.42,0.63
198806,4.79,2.11,0.49,1.87,1.86,-1.24,-2.93
198807,-1.25,-0.25,0.51,3.36,-1.35,2.22,0.66
198808,-3.31,0.04,0.59,-1.93,-1.96,2.15,0.35
198809,3.3,-1.31,0.62,-0.12,-2,-0.75,0.27
198810,1.15,-2.93,0.61,-1,-0.25,2.05,1.33
198811,-2.29,-1.72,0.57,-0.67,-0.8,1.41,0.33
198812,1.49,1.95,0.63,2.29,0.79,-1.69,0.49
198901,6.1,-2.23,0.55,0.97,2.83,0.6,-0.16
198902,-2.25,2.82,0.61,1.07,0.93,1.01,0.99
198903,1.57,0.67,0.67,-0.89,0.55,0.58,3.51
198904,4.33,-0.68,0.67,-0.65,-1.06,-1.42,1.77
198905,3.35,-0.05,0.79,-2.74,-1.72,-0.88,1.52
198906,-1.35,-1.02,0.71,2.3,-0.65,2.25,0.43
198907,7.2,-4.14,0.7,1.43,-1.77,-2.79,5.41
198908,1.44,0.56,0.74,1.85,0.15,0.6,-0.12
198909,-0.76,0.32,0.65,1.17,-2.82,-1.27,3.4
198910,-3.67,-3.23,0.68,-4.32,-3.53,-1.11,1.32
198911,1.03,-1.24,0.69,-1.75,-1.25,-1.09,2.6
198912,1.16,-2.36,0.61,-2.56,-0.82,0.16,2.8
199001,-7.85,-1.24,0.57,1.02,3.48,0.85,-3.27
199002,1.11,0.99,0.57,0.49,1.91,0.64,-0.55
199003,1.83,1.5,0.64,0.17,-0.24,-2.92,1.8
199004,-3.36,-0.46,0.69,-1.82,-1.18,-2.59,2.39
199005,8.42,-2.53,0.68,-0.35,0.99,-3.83,3.03
199006,-1.09,1.4,0.63,-0.22,-1.48,-1.93,2.4
199007,-1.9,-3.12,0.68,-0.68,-1.88,-0.03,6.1
199008,-10.15,-3.57,0.66,-3.65,1.56,1.64,1.88
199009,-6.12,-3.65,0.6,-5.98,0.37,0.64,5.78
199010,-1.92,-5.57,0.68,-2.68,-3.38,0.1,6.71
199011,6.35,0.43,0.57,5.85,-0.63,-3.1,-5.48
199012,2.46,0.81,0.6,-3.01,-2.08,-1.7,0.29
199101,4.69,3.81,0.52,-1.93,6.31,-1.6,-6.45
199102,7.19,3.95,0.48,1.93,1.13,-0.58,-4.61
199103,2.65,3.93,0.44,0.52,-0.45,-1.39,2.87
199104,-0.28,0.48,0.53,1.57,-1.22,1.5,-2.36
199105,3.65,-0.4,0.47,0.08,1.37,-0.52,-0.11
199106,-4.94,0.13,0.42,2.06,-1.76,1.15,0.47
199107,4.24,-0.92,0.49,2.13,0.72,-1.32,4.32
199108,2.32,1.58,0.46,-2.92,-0.5,-0.78,1.57
199109,-1.59,1.64,0.46,-0.76,-0.73,-1.08,1.79
199110,1.29,0.81,0.42,-1.18,2.35,-0.47,3.06
199111,-4.19,-0.5,0.39,-0.4,-2.75,-1.89,1.14
199112,10.84,-2.24,0.38,1.06,-0.9,-4.17,8.19
199201,-0.59,8.46,0.34,5.22,9.44,4.71,-2.49
